Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,batch_size,class_weight,epochs,initial_epoch,max_queue_size,opt_amsgrad,opt_beta_1,opt_beta_2,opt_decay,opt_epsilon,opt_learning_rate,opt_name,sample_weight,shuffle,steps_per_epoch,use_multiprocessing,validation_batch_size,validation_freq,validation_split,validation_steps,workers,accuracy,loss,val_accuracy,val_loss
2023-06-06 00:08:39,19.9min,122c5ae6eda445cfb2b870ca417c3032,,LOCAL,Cardiomegaly_model_inception.py,marvin,FINISHED,32,None,30,0,10,False,0.9,0.999,0.0,1e-07,0.0006,Adam,None,True,None,False,None,1,0.0,None,1,0.7311111092567444,0.5912908315658569,0.6942675113677979,0.6071913242340088
2023-06-05 23:46:35,20.8min,2484682595d54f9699eebf0015ff5d7b,,LOCAL,Cardiomegaly_model_densenet.py,marvin,FINISHED,32,None,30,0,10,False,0.9,0.999,0.0,1e-07,0.0006,Adam,None,True,None,False,None,1,0.0,None,1,0.7350000143051147,0.5902438759803772,0.7515923380851746,0.6031597256660461
2023-05-25 14:22:07,1.8min,49bde29dbe7d451985f7d275a4b7ec82,,LOCAL,train_model_ResNet.py,marvin,FAILED,32,None,150,0,10,False,0.9,0.999,0.0,1e-07,0.0006,Adam,None,True,None,False,None,1,0.0,None,1,0.38563501834869385,1.7289819717407227,0.35880398750305176,1.6380730867385864
2023-05-25 14:19:23,4.1s,71633429c2664f06b983839407c615be,,LOCAL,train_model_ResNet.py,marvin,FAILED,32,None,150,0,10,False,0.9,0.999,0.0,1e-07,0.0006,Adam,None,True,None,False,None,1,0.0,None,1,,,,
2023-05-23 08:43:25,1.7h,0fda9f4e64164efdb0476312328679ef,,LOCAL,train_model_self.py,marvin,FAILED,32,None,150,0,10,False,0.9,0.999,0.0,1e-07,0.0006,Adam,None,True,None,False,None,1,0.0,None,1,0.49106040596961975,1.1377203464508057,0.42192691564559937,1.3530852794647217
2023-05-23 05:58:31,2.7h,8f4c8618d2b0475fb168d8d81618189d,,LOCAL,train_model_ResNet.py,marvin,FINISHED,32,None,150,0,10,False,0.9,0.999,0.0,1e-07,0.0006,Adam,None,True,None,False,None,1,0.0,None,1,0.572749674320221,1.1102641820907593,0.4684385359287262,1.314136266708374
2023-05-23 03:12:45,2.7h,f232a572b2f94b4d81034a2ecf329bc1,,LOCAL,train_model_inception.py,marvin,FINISHED,32,None,150,0,10,False,0.9,0.999,0.0,1e-07,0.0006,Adam,None,True,None,False,None,1,0.0,None,1,0.5243526697158813,1.1768007278442383,0.47840532660484314,1.2440831661224365
2023-05-23 00:37:39,2.6h,2c6cb9760b6240f5828b2f1607f714ca,,LOCAL,train_model_densenet.py,marvin,FINISHED,32,None,150,0,10,False,0.9,0.999,0.0,1e-07,0.0006,Adam,None,True,None,False,None,1,0.0,None,1,0.5277435183525085,1.1309332847595215,0.4684385359287262,1.2770633697509766
2023-05-23 00:32:19,9.4s,64d26dd38a974b38bed4fad6be9c6646,,LOCAL,train_model_vgg.py,marvin,FAILED,32,None,2,0,10,False,0.9,0.999,0.0,1e-07,0.0006,Adam,None,True,None,False,None,1,0.0,None,1,,,,
2023-05-23 00:28:21,1.7s,1baac07642524ae0853ca070ff6ec025,,LOCAL,train_model_inception.py,marvin,FAILED,32,None,2,0,10,False,0.9,0.999,0.0,1e-07,0.0006,Adam,None,True,None,False,None,1,0.0,None,1,,,,
